generation,N_shifts,logPrior,logLik,eventRate,acceptRate
15000000,26,88.1546,41.217,24.6037,0.216467
15030000,19,53.6655,76.2256,20.3237,0.1969
15060000,19,67.5721,57.3818,18.1397,0.207433
15090000,35,121.419,49.8707,42.6902,0.2084
15120000,17,53.3486,52.2351,22.6814,0.207267
15150000,28,93.386,27.1277,23.2686,0.211033
15180000,25,84.9723,44.0961,26.4536,0.2099
15210000,19,63.135,70.2141,27.2084,0.212033
15240000,26,96.4343,84.3321,25.448,0.202533
15270000,17,62.1043,52.9055,23.3302,0.206
15300000,43,146.118,34.2454,38.5709,0.214333
15330000,27,98.9629,59.7885,39.5083,0.217433
15360000,27,105.985,58.431,23.511,0.213167
15390000,23,87.5139,17.3956,29.2455,0.2145
15420000,33,119.857,70.0327,33.0156,0.222767
15450000,20,74.1995,73.8212,35.9628,0.317815
15480000,27,98.2634,56.6165,17.4788,0.213033
15510000,28,88.3735,32.777,34.4998,0.215733
15540000,26,78.8731,47.3343,25.4286,0.215633
15570000,27,89.0693,46.1974,33.7673,0.2108
15600000,17,53.5188,68.0986,14.6916,0.208033
15630000,24,76.8077,46.0813,22.648,0.1981
15660000,46,149.521,79.604,35.9375,0.208267
15690000,29,97.0955,45.9659,44.2734,0.2096
15720000,34,111.219,70.7546,40.2152,0.212933
15750000,35,121.946,51.3119,23.3217,0.2127
15780000,24,85.9882,55.9092,20.5727,0.2072
15810000,25,93.0446,9.16358,20.8644,0.2099
15840000,20,72.102,29.6962,19.539,0.223967
15870000,11,37.4396,24.8997,14.9966,0.215367
15900000,18,62.6514,59.4096,23.1037,0.207033
15930000,45,165.511,42.9022,36.296,0.213433
15960000,24,85.6532,43.0137,17.8497,0.212633
15990000,27,99.1863,31.9577,27.2495,0.205633
16020000,18,59.2649,51.7857,19.6262,0.208967
16050000,23,75.3829,24.9421,27.0818,0.2089
16080000,17,59.2124,12.1249,11.3648,0.209733
16110000,22,76.9262,50.3135,30.4387,0.2178
16140000,17,62.6738,40.924,11.3973,0.205733
16170000,24,89.0383,48.5422,26.2679,0.207167
16200000,33,123.929,88.5539,26.1131,0.2047
16230000,25,91.1229,77.0298,29.1363,0.197633
16260000,19,74.1923,25.7656,16.4786,0.207167
16290000,22,65.7276,23.572,18.8309,0.206333
